idword,word
563,lim
564,lin
565,linh
566,liu
567,liem
568,lien
569,lieng
570,lieu
571,liec
572,liep
573,liet
574,lo
575,loa
576,loan
577,loang
578,loanh
579,loay
580,loe
581,loen
582,loi
583,lom
584,lon
585,long
586,loong
587,loai
588,loat
589,loet
590,loac
591,lu
592,lua
593,lui
594,lum
595,lung
596,luya
597,luyen
598,luan
599,luom
600,luon
601,luong
602,luynh
603,luat
604,luoc
605,luot
606,luy
607,ly
608,lac
609,lach
610,lap
611,lat
612,lec
613,lep
614,let
615,lenh
616,leu
617,lip
618,lit
619,loc
620,lop
621,lot
622,lun
623,luc
624,lup
625,lut
626,luu
627,luoi
628,lech
629,lich
630,ma
631,mai
632,man
633,mang
634,manh
635,mao
636,mau
637,may
638,me
639,mem
640,men
641,meo
642,mi
643,mia
644,mim
645,min
646,minh
647,mien
648,mieu
649,mieng
650,miet
651,mo
652,moay
653,moi
654,mom
655,mon
656,mong
657,mooc
658,mu
659,mua
660,mui
661,mum
662,mun
663,mung
664,muoi
665,muon
666,muong
667,muot
668,muom
669,mac
670,mach
671,mat
672,mam
673,meng
674,mep
675,met
676,menh
677,mich
678,mip
679,mit
680,miu
681,moc
682,mop
683,mot
684,muc
685,mup
686,mut
687,muu
688,muop
689,map
690,mech
691,meu
692,na
693,nai
694,nam
695,nan
696,nang
697,nanh
698,nao
699,nau
700,nay
701,ne
702,nem
703,nen
704,neo
705,nga
706,ngai
707,ngam
708,ngan
709,ngang
710,ngao
711,ngau
712,ngay
713,nghe
714,nghi
715,nghinh
716,nghiu
717,nghiem
718,nghien
719,nghieng
720,nghieu
721,nghiep
722,nghiet
723,nghen
724,ngheo
725,nghet
726,nghenh
727,ngheu
728,nghin
729,nghit
730,nghia
731,nghech
732,nghim
733,nghich
734,ngoa
735,ngoan
736,ngoang
737,ngoao
738,ngoay
739,ngoe
740,ngoi
741,ngon
742,ngong
743,ngoai
744,ngoam
745,ngoac
746,ngoach
747,ngoeo
748,ngoet
749,ngoanh
750,ngoat
751,ngoen
752,ngu
753,nguy
754,nguyen
755,nguyet
756,nguyt
757,nguay
758,nguoi
759,nguon
760,nguyu
761,nganh
762,ngac
763,ngach
764,ngap
765,ngat
766,ngia
767,ngo
768,ngom
769,ngoc
770,ngop
771,ngot
772,ngui
773,ngung
774,nguc
775,ngut
776,ngua
777,nguu
778,nguoc
779,nguong
780,ngum
781,ngup
782,ngun
783,nha
784,nhai
785,nham
786,nhan
787,nhang
788,nhanh
789,nhao
790,nhau
791,nhay
792,nhe
793,nhem
794,nhen
795,nheo
796,nhi
797,nhinh
798,nhiu
799,nhien
800,nhieu
801,nhiec
802,nhiep
803,nhiem
804,nhiet
805,nho
806,nhoai
807,nhoang
808,nhoay
809,nhoe
810,nhoen
811,nhoi
812,nhom
813,nhong
814,nhoa
815,nhoam
816,nhoet
817,nhu
818,nhui
819,nhung
820,nhuyen
821,nhuom
822,nhuan
823,nhue
824,nhuoc
825,nhac
826,nhach
827,nhap
828,nhat
829,nhep
830,nhet
831,nhenh
832,nhin
833,nhia
834,nhich
835,nhim
836,nhip
837,nhit
838,nhoc
839,nhon
840,nhop
841,nhot
842,nhun
843,nhua
844,nhuc
845,nhum
846,nhut
847,nhuong
848,nheu
849,nhuy
850,ni
851,nia
852,nin
853,ninh
854,niu
855,niem
856,nien
857,nieu
858,niet
859,nieng
860,no
861,noa
862,noi
863,nom
864,non
865,nong
866,noan
867,nua
868,nung
869,nuoi
870,nuong
871,nuoc
872,nuom
873,nuot
874,nac
875,nach
876,nat
877,nep
878,net
879,neu
880,nich
881,nip
882,nit
883,noc
884,not
885,nui
886,nun
887,nuc
888,num
889,nup
890,nut
891,nu
892,nuop
893,nap
894,nop
895,o
896,oa
897,oai
898,oan
899,oang
900,oanh
901,oe
902,oi
903,om
904,ong
905,oam
906,oac
907,oach
908,oat
909,oap
910,pa
911,palang
912,pan
913,pao
914,pe
915,pha
916,phai
917,phang
918,phanh
919,phao
920,phau
921,phay
922,phe
923,phen
924,pheo
925,phi
926,phim
927,phin
928,phinh
929,phiu
930,phien
931,phieu
932,phiem
933,phiet
934,pho
935,phoi
936,phom
937,phong
938,phu
939,phui
940,phun
941,phung
942,phuy
943,pham
944,phan
945,phac
946,phach
947,phap
948,phat
949,pheng
950,phep
951,phet
952,phia
953,phich
954,phoc
955,phot
956,phuc
957,phut
958,phon
959,phuong
960,phuoc
961,phuon
962,phuou
963,phech
964,phenh
965,pheu
966,phit
967,phop
968,phua
969,pi
970,pin
971,ping
972,pom
973,pu
974,pac
975,pap
976,po
977,pong
978,qua
979,quai
980,quan
981,quang
982,quanh
983,quao
984,quau
985,quay
986,que
987,quen
988,queo
989,quoang
990,quoat
991,quuyet
992,quy
993,quyen
994,quyet
995,quac
996,quach
997,quat
998,quet
999,quit
1000,quynh
1001,quyt
1002,quam
1003,quo
1004,quap
1005,queu
1006,quenh
1007,quech
1008,quoc
1009,ra
1010,rai
1011,ram
1012,ran
1013,rang
1014,ranh
1015,rao
1016,rau
1017,ray
1018,re
1019,ren
1020,reng
1021,reo
1022,ri
1023,ria
1024,rim
1025,rin
1026,rinh
1027,riu
1028,rieng
1029,rieu
1030,riet
1031,riem
1032,ro
1033,roa
1034,roi
1035,rom
1036,rong
1037,ru
1038,rua
1039,rum
1040,run
1041,rung
1042,ruoc
1043,ruoi
1044,ruong
1045,ruom
1046,ruot
1047,rac
1048,rach
1049,rap
1050,rat
1051,rem
1052,ret
1053,reu
1054,rich
1055,rit
1056,roc
1057,ron
1058,rot
1059,ruc
1060,rui
1061,rup
1062,rut
1063,ruon
1064,ruou
1065,rech
1066,rep
1067,renh
1068,rop
1069,sa
1070,sai
1071,sam
1072,san
1073,sang
1074,sanh
1075,sao
1076,sau
1077,say
1078,se
1079,sen
1080,seo
1081,si
1082,sim
1083,sin
1084,sinh
1085,siu
1086,sieng
1087,sieu
1088,siet
1089,siem
1090,sien
1091,so
1092,soa
1093,soi
1094,son
1095,song
1096,soong
1097,soai
1098,soan
1099,soat
1100,soang
1101,su
1102,sui
1103,sum
1104,sun
1105,sung
1106,suy
1107,suyen
1108,sue
1109,suon
1110,suong
1111,suyt
1112,suat
1113,suoi
1114,suot
1115,sac
1116,sach
1117,sap
1118,sat
1119,sec
1120,sem
1121,set
1122,senh
1123,seu
1124,sit
1125,som
1126,soc
1127,sooc
1128,sot
1129,suc
1130,sup
1131,sut
1132,sua
1133,suu
1134,sep
1135,sia
1136,sich
1137,sop
1138,ta
1139,tai
1140,tam
1141,tan
1142,tang
1143,tanh
1144,tao
1145,tay
1146,te
1147,tem
1148,ten
1149,teng
1150,teo
1151,tha
1152,thai
1153,tham
1154,than
1155,thang
1156,thanh
1157,thao
1158,thau
1159,thay
1160,the
1161,then
1162,theo
1163,thi
1164,thia
1165,thin
1166,thinh
1167,thiu
1168,thiem
1169,thien
1170,thieng
1171,thieu
1172,thiec
1173,thiep
1174,thiet
1175,tho
1176,thoa
1177,thoai
1178,thoang
1179,thoi
1180,thom
1181,thon
1182,thong
1183,thoan
1184,thoat
1185,thu
1186,thua
1187,thui
1188,thum
1189,thun
1190,thung
1191,thuyen
1192,thuyet
1193,thue
1194,thuon
1195,thuy
1196,thuong
1197,thuan
1198,thuat
1199,thuoc
1200,thuom
1201,thuo
1202,thac
1203,thach
1204,thap
1205,them
1206,thep
1207,thet
1208,thenh
1209,theu
1210,thich
1211,thim
1212,thip
1213,thit
1214,thoc
1215,thop
1216,thot
1217,thuc
1218,thut
1219,thuot
1220,thuoi
1221,that
1222,thech
1223,thup
1224,ti
1225,tia
1226,tim
1227,tin
1228,tinh
1229,tiu
1230,tiem
1231,tien
1232,tieng
1233,tieu
1234,tiec
1235,tiep
1236,tiet
1237,to
1238,toa
1239,toan
1240,toang
1241,toanh
1242,toe
1243,toen
1244,toi
1245,tom
1246,ton
1247,tong
1248,toong
1249,tout
1250,toai
1251,toac
1252,toat
1253,toay
1254,toet
1255,tra
1256,trai
1257,tram
1258,tran
1259,trang
1260,tranh
1261,trao
1262,trau
1263,tre
1264,treo
1265,tri
1266,trinh
1267,trieng
1268,trieu
1269,trien
1270,triet
1271,tro
1272,troi
1273,tron
1274,trong
1275,tru
1276,trui
1277,trun
1278,trung
1279,truy
1280,truyen
1281,truan
1282,truong
1283,truat
1284,truot
1285,tray
1286,trac
1287,trach
1288,trap
1289,trat
1290,trem
1291,tren
1292,tret
1293,treu
1294,triu
1295,trich
1296,trit
1297,trom
1298,troc
1299,trot
1300,trum
1301,truc
1302,trut
1303,trua
1304,truoc
1305,truon
1306,trech
1307,tria
1308,trop
1309,trup
1310,tu
1311,tua
1312,tui
1313,tum
1314,tun
1315,tung
1316,tuy
1317,tuyn
1318,tuyen
1319,tuyet
1320,tuan
1321,tuon
1322,tuong
1323,tuat
1324,tue
1325,tuech
1326,tuot
1327,tuoi
1328,tuoc
1329,ty
1330,tau
1331,tac
1332,tach
1333,tap
1334,tat
1335,tec
1336,tep
1337,tet
1338,tenh
1339,teu
1340,tich
1341,tip
1342,tit
1343,toc
1344,top
1345,tot
1346,tuc
1347,tup
1348,tut
1349,tuom
1350,tuop
1351,tuou
1352,tech
1353,tuu
1354,u
1355,um
1356,un
1357,ung
1358,uy
1359,uyen
1360,uom
1361,uat
1362,uan
1363,uay
1364,ue
1365,uon
1366,uong
1367,uot
1368,uo
1369,uynh
1370,uych
1371,va
1372,vai
1373,van
1374,vang
1375,vanh
1376,vao
1377,vay
1378,ve
1379,ven
1380,veo
1381,vi
1382,vinh
1383,viem
1384,vien
1385,vieng
1386,viet
1387,viec
1388,vo
1389,voan
1390,voi
1391,von
1392,vong
1393,vu
1394,vua
1395,vui
1396,vun
1397,vung
1398,vuong
1399,vuot
1400,vam
1401,vac
1402,vach
1403,vap
1404,vat
1405,vec
1406,vet
1407,venh
1408,veu
1409,via
1410,vich
1411,vit
1412,viu
1413,vom
1414,vomg
1415,voc
1416,vot
1417,vuc
1418,vut
1419,vum
1420,vuu
1421,vuon
1422,vuoc
1423,vau
1424,vem
1425,vech
1426,vim
1427,vin
1428,vop
1429,x
1430,xa
1431,xam
1432,xan
1433,xang
1434,xanh
1435,xao
1436,xay
1437,xe
1438,xem
1439,xen
1440,xeo
1441,xi
1442,xia
1443,xim
1444,xin
1445,xinh
1446,xit
1447,xiem
1448,xien
1449,xieu
1450,xiec
1451,xiet
1452,xieng
1453,xo
1454,xoa
1455,xoan
1456,xoang
1457,xoay
1458,xoe
1459,xoen
1460,xoi
1461,xom
1462,xon
1463,xong
1464,xoong
1465,xoai
1466,xoam
1467,xoanh
1468,xoac
1469,xoat
1470,xoet
1471,xoach
1472,xu
1473,xua
1474,xui
1475,xum
1476,xung
1477,xuy
1478,xuya
1479,xuynh
1480,xuyen
1481,xuyet
1482,xuan
1483,xuay
1484,xue
1485,xuoi
1486,xuyt
1487,xuat
1488,xuenh
1489,xuech
1490,xuong
1491,xai
1492,xau
1493,xac
1494,xach
1495,xap
1496,xat
1497,xeng
1498,xec
1499,xep
1500,xet
1501,xenh
1502,xeu
1503,xiu
1504,xich
1505,xoc
1506,xop
1507,xot
1508,xuc
1509,xup
1510,xut
1511,xuoc
1512,xech
1513,y
1514,yen
1515,yeng
1516,yeu
1517,yem
1518,yet
1519,ac
1520,ach
1521,ap
1522,at
1523,ay
1524,ec
1525,ep
1526,et
1527,eu
1528,ich
1529,it
1530,oc
1531,op
1532,ot
1533,on
1534,ua
1535,ui
1536,up
1537,ut
1538,dem
1539,din
1540,dieng
1541,doat
1542,duon
1543,dach
1544,dec
1545,deu
1546,dup
1547,duom
1548,dech
1549,uu
1550,uoi
1551,uoc
1552,uop
1553,ech
1554,enh
1555,ia
1556,uc
